language_long	mca_baseline	mca_comma	mca_edit_distance	mca_remove_parenthesis	mca_comma_remove_parenthesis	max_diff
Crimean Tatar Latin alphabet	0.0	0.0021848288550731024	-0.009275940051362602	0.00022998198474460246	0.0023381501782360967	0.009275940051362602
Maithili	0.0	0.007288263382759563	-0.002261874842925282	0.0037697914048755443	0.00904749937170135	0.00904749937170135
Hakka	0.0	0.0022331397945511006	-0.009001271171883103	-6.871199367849967e-05	0.002061359810354893	0.009001271171883103
Aragonese	0.0	0.008936102183584316	-0.006102569473922098	-0.0025072546566934917	0.006710046526340496	0.008936102183584316
Mingrelian	0.0	0.002013693113169568	-0.008860249697946077	0.000805477245267805	0.006846556584776509	0.008860249697946077
Austrian German	0.0	0.008809091520408902	-0.004826694760122208	-0.0013291803807952002	0.007816204338044003	0.008809091520408902
Minangkabau	0.0	0.00735706993363959	-0.0043134252169474	0.0009767621578535002	0.008563589536792898	0.008563589536792898
Samogitian	0.0	0.00027485471964820013	-0.008559761269043502	-7.852991989950459e-05	0.00027485471964820013	0.008559761269043502
Ilocano	0.0	0.0047378193226199	-0.008515269863627599	-0.00016006146360200008	0.0048978807862219	0.008515269863627599
Corsican	0.0	0.00818507612366598	-0.0049110456741995046	4.490309412888416e-05	0.008475818745644487	0.008475818745644487
Lombard	0.0	0.002634593356242887	-0.008394698085419705	0.0006218294878088948	0.0033873343151693824	0.008394698085419705
Hausa	0.0	0.003134696979291994	-0.008359191944778702	-0.0007282629345830016	0.0021214615920460977	0.008359191944778702
Dutch Low Saxon	0.0	0.008148689030563677	-0.005362917328849914	-0.002846122988771016	0.005658509765723685	0.008148689030563677
Karakalpak	0.0	0.002730686084878902	-0.008116205863389798	7.585239124669949e-05	0.0028444646717488004	0.008116205863389798
Tetum	0.0	0.0011680596113180994	-0.0081160004027792	0.00014097271171079756	0.0015104219111872	0.0081160004027792
Cebuano	0.0	0.0021963351349023885	-0.008053228827975309	-0.00030145776361401033	0.0023039986219073882	0.008053228827975309
Quechua	0.0	0.0026280782583303908	-0.007949125596184409	0.0005840173907400992	0.0036014405762304913	0.007949125596184409
Central Bikol	0.0	0.007570022710068104	-0.007065354529396897	-0.00036047727190799406	0.0078944522547853	0.0078944522547853
Bhojpuri	0.0	0.00734522560335793	0.003672612801679076	-0.0005246589716683125	0.007869884575026465	0.007869884575026465
Māori	0.0	0.0076140118968936014	-0.004362194315928599	0.0001328132775952999	0.0077734647158356	0.0077734647158356
Slovak	0.0	0.00590241343126971	-0.007764952780692502	-0.0006191628315218856	0.005522646395292208	0.007764952780692502
Moldovan	0.0	0.0007221194204991982	-0.007717651306584802	4.5132463781197285e-05	0.0009477817394051985	0.007717651306584802
Mirandese	0.0	0.004496306605288498	-0.007707954180494601	0.00042821967669410405	0.0049245262819826024	0.007707954180494601
Dagbani	0.0	0.0	0.0	-0.007633587786259499	-0.007633587786259499	0.007633587786259499
Somali	0.0	0.0004692816080716991	-0.007547612529818899	0.00031285440538109804	0.0005083884087443008	0.007547612529818899
Tajik in Latin script	0.0	-0.00011982744847419818	-0.007469244288224895	0.00031953986259790346	0.0007589071736700051	0.007469244288224895
Fiji Hindi	0.0	0.0007446848121532984	-0.0073351453997096	-0.000632982090330303	-0.0001117027218230024	0.0073351453997096
Lao	0.0	0.00013854253255750348	-0.007250392537175597	0.0004156275976725035	0.0006927126627875035	0.007250392537175597
Ripuarian	0.0	0.004923413566739601	-0.007248358862144401	3.4190371991198176e-05	0.005162746170678301	0.007248358862144401
Judaeo-Spanish	0.0	0.0005724508050089019	-0.007119856887298798	7.155635062610494e-05	0.000715563506261202	0.007119856887298798
Ewe	0.0	0.002362705600823911	-0.007118407899918189	0.0007572774361615103	0.0032411474267713125	0.007118407899918189
Seri	0.0	0.0004235852253473005	-0.0071162317858353	0.0	0.0005083022704167987	0.0071162317858353
Old English	0.0	0.0033121916842846974	-0.007047216349541897	0.0005285412262156994	0.0038407329105003968	0.007047216349541897
Kapampangan	0.0	0.0033876370280147006	-0.006927527405602898	-0.0001903166869670972	0.003539890377588402	0.006927527405602898
Old Church Slavonic	0.0	0.0007057827130286971	-0.006916670587681802	0.00018820872347430004	0.0009410436173715973	0.006916670587681802
Kashubian	0.0	0.0017461084073262037	-0.006910131143886798	0.0001857562135453017	0.0020804695917078023	0.006910131143886798
Zamboanga Chavacano	0.0	0.0018332505824390014	-0.0068364969636787	3.8192720467501023e-05	0.001947828743841501	0.0068364969636787
Kinyarwanda	0.0	0.0	-0.006802993317059499	-8.003521549479822e-05	4.0017607747400846e-05	0.006802993317059499
Sranan Tongo	0.0	0.0008130081300812969	-0.0067627494456763	0.0009608277900960971	0.0019586104951958005	0.0067627494456763
Akan Wiktionary	0.0	0.002711864406779601	-0.006741996233521699	-0.0006403013182673979	0.002184557438794702	0.006741996233521699
Waray	0.0	0.004780715536203198	-0.0067334021636666005	-0.00040400412982000145	0.004601158145172098	0.0067334021636666005
Sesotho	0.0	0.000599041533546299	-0.0067092651757189	0.0	0.0007188498402556018	0.0067092651757189
Northern Sotho	0.0	0.0	-0.006694628165833199	0.0	0.00012098725600900168	0.006694628165833199
Silesian	0.0	0.001888640179070998	-0.006680190263010699	0.0002448237269166015	0.0020635142697257997	0.006680190263010699
Goan Konkani in Latin script	0.0	0.0006666666666666904	-0.0066666666666666125	0.0006666666666666904	0.0013333333333333947	0.0066666666666666125
Emilian-Romagnol	0.0	0.003390834869633902	-0.006617066104819595	-0.00036212799578619337	0.0030945483276271016	0.006617066104819595
Javanese	0.0	0.0021205868867491956	-0.006613938560293506	0.0004814305364510968	0.0027281063732233005	0.006613938560293506
Luganda	0.0	0.0	-0.006609385327164501	0.0	0.00012392597488439933	0.006609385327164501
Zhuang	0.0	4.038609103020063e-05	-0.0065829328379306	0.00012115827309070251	0.0002827026372117028	0.0065829328379306
Simple English	0.0	0.0026219956300072983	-0.006554989075018197	-0.00014566642388920414	0.0026219956300072983	0.006554989075018197
Eastern Canadian (Aboriginal syllabics)	0.0	-0.003273322422258605	-0.0065466448445172035	0.0	-0.003273322422258605	0.0065466448445172035
Kichwa	0.0	4.275696938599999e-05	-0.006541816316059601	0.0	8.551393877199998e-05	0.006541816316059601
Samoan	0.0	4.023982938310133e-05	-0.006518852360065998	8.047965876629981e-05	0.0003621584644481028	0.006518852360065998
Romani	0.0	0.0002744344689693014	-0.0065080174069862985	0.0002744344689693014	0.0003920492413847024	0.0065080174069862985
Navajo	0.0	0.000967390866217898	-0.0064895803942118	-4.0307952759100624e-05	0.0010480067717360993	0.0064895803942118
Pangasinan	0.0	0.0014305583151201992	-0.006477250149016501	7.947546195110136e-05	0.0015100337770714012	0.006477250149016501
Marshallese	0.0	0.0	-0.0064464853408690015	0.0	0.00013246202755209935	0.0064464853408690015
Twi	0.0	0.0006551648831623	-0.006420615854990099	-0.0001747106355098997	0.0006114872242847999	0.006420615854990099
Latgalian	0.0	0.0007274784787616971	-0.006385644424685703	0.00024249282625389904	0.0011316331891847997	0.006385644424685703
Swazi	0.0	0.0006547073458164007	-0.0063724848326132	0.0	0.000829295971367501	0.0063724848326132
Shona	0.0	0.0016653756777691014	-0.006351665375677799	0.0	0.0018202943454686017	0.006351665375677799
Lojban	0.0	0.002917354420175898	-0.006295343748800402	-3.838624237070126e-05	0.003109285632029498	0.006295343748800402
Zeelandic	0.0	0.003208801283520503	-0.006286631086080997	0.0003601715726401014	0.003601715726400598	0.006286631086080997
Zazaki	0.0	0.0030102164923376945	-0.006263682802237901	-0.0020372172220870996	0.0009425930430552037	0.006263682802237901
Gothic	0.0	0.0	-0.006255585344057199	0.00017022000936210008	0.00029788501638370116	0.006255585344057199
Fula	0.0	0.0022172101380022007	-0.0062311250430062	-3.8227761000000915e-05	0.0022936656600022996	0.0062311250430062
Aymara	0.0	0.0017113935112696987	-0.006226559370789801	0.0001820631394967992	0.0022575829297601033	0.006226559370789801
Gikuyu	0.0	0.0017490671641791009	-0.006218905472636798	7.773631840800321e-05	0.0018656716417911022	0.006218905472636798
Tunisian Arabic in Latin script	0.0	0.0	-0.006215469613259597	0.0	0.0006906077348066975	0.006215469613259597
Batak Toba in Latin script	0.0	0.0	-0.0062111801242236	0.0	0.0006901311249137981	0.0062111801242236
Kurdish in Latin script	0.0	0.0006976648746255046	-0.006196905651085497	8.207822054410313e-05	0.000861821315713801	0.006196905651085497
Fijian	0.0	0.002216024147021701	-0.006189584686508999	0.0	0.0023306460856608	0.006189584686508999
Eastern Canadian in Latin script	0.0	0.0016837653692537008	-0.006186858798653	0.0	0.0018012373717597	0.006186858798653
Cree Wikiquote	0.0	0.0016787038844426998	-0.006168260784696499	0.0	0.0017958227601015016	0.006168260784696499
Guarani	0.0	0.0016747868453106003	-0.006166260657734499	-0.0002664433617539999	0.0014844701583434997	0.006166260657734499
Fiji Hindi in Latin script	0.0	0.001678114267873898	-0.006166094286606302	0.0	0.0017951920074930003	0.006166094286606302
Votic	0.0	0.0	-0.006161253468255301	0.0	0.00012240900930310036	0.006161253468255301
Herero	0.0	0.0016755640416163016	-0.006156723687799499	0.0	0.0017924638584733005	0.006156723687799499
Inuktitut	0.0	8.598082627570003e-05	-0.006147629078715499	4.2990413137902056e-05	0.0002149520656893021	0.006147629078715499
Choctaw	0.0	0.0016723708774112993	-0.006144990665837001	0.0	0.0017890479153702989	0.006144990665837001
Hiri Motu	0.0	0.0016721107481722994	-0.0061440348421217	0.0	0.0017887696375797	0.0061440348421217
Tachelhit in Latin script	0.0	0.0	-0.006142456168897199	0.0	0.0001220355530245007	0.006142456168897199
Inupiat	0.0	0.0016715257531583969	-0.006141885325558802	0.0	0.0017881438289600975	0.006141885325558802
Megleno-Romanian in Latin script	0.0	0.0	-0.0061412070928907984	0.0	0.00012201073694489972	0.0061412070928907984
Uyghur Latin alphabet	0.0	8.131072895069952e-05	-0.006138960035776698	8.131072895069952e-05	0.00020327682237670022	0.006138960035776698
Tatar in Latin script	0.0	0.0	-0.006138710464265399	0.0	0.00012196113505169928	0.006138710464265399
Pennsylvania German	0.0	0.0029032784211385013	-0.006132767900831896	0.0	0.0029032784211385013	0.006132767900831896
Cheyenne	0.0	0.0016679596586500998	-0.006128782001551598	3.8789759503502635e-05	0.0018231186966641	0.006128782001551598
Chamorro	0.0	0.0016674422211881007	-0.006126880719714602	0.0	0.001783775399410499	0.006126880719714602
Ndonga	0.0	0.0	-0.006126754848656999	0.0	0.0001217236062647023	0.006126754848656999
Tsonga	0.0	0.0	-0.0061255742725881	0.0	0.00012089949222210059	0.0061255742725881
Turoyo	0.0	0.0	-0.006124649557903801	0.0	8.626266982959992e-05	0.006124649557903801
Tarantino	0.0	0.0007157911480493995	-0.006123990933312201	0.0	0.0008350896727242971	0.006123990933312201
Laz	0.0	0.0	-0.0061233290211298004	0.0	8.624407072009913e-05	0.0061233290211298004
Kadazandusun	0.0	0.002383398397370102	-0.006122868296691999	0.0	0.0024655845490035005	0.006122868296691999
Riffian	0.0	0.0	-0.0061213132999443	0.0	8.561277342579963e-05	0.0061213132999443
Brahui language	0.0	0.0	-0.0061209534893746	0.0	8.621061252640089e-05	0.0061209534893746
Oromo	0.0	0.0	-0.006118066528908801	-4.051699688010016e-05	0.00012155099064059885	0.006118066528908801
Mizo	0.0	0.0	-0.0061125220610391984	0.0	8.609186001460115e-05	0.0061125220610391984
Lozi	0.0	0.0	-0.006110417832092601	0.0	8.606222298719948e-05	0.006110417832092601
Cherokee	0.0	0.0	-0.006102539859899498	0.0	0.00017190253126470045	0.006102539859899498
Kwanyama	0.0	0.0	-0.006100024238506901	0.0	0.00012119253453989759	0.006100024238506901
Kanuri	0.0	0.0006055712555511003	-0.006096083972547399	0.0	0.0007266855066613009	0.006096083972547399
Sango	0.0	0.0	-0.0060948536831484015	0.0	0.00012108980827440011	0.0060948536831484015
Plautdietsch	0.0	0.0012010088474319024	-0.006085111493654599	-0.00040033628247729963	0.0008807398214500002	0.006085111493654599
Chewa	0.0	0.0010476267225401	-0.006084293657829001	0.0	0.0012088000644693009	0.006084293657829001
Kirundi	0.0	0.0004833836858005973	-0.006082578046324302	0.0	0.0006042296072507995	0.006082578046324302
Kinaray-a	0.0	0.0	-0.0060792876102406	0.0	8.562376915840011e-05	0.0060792876102406
