language_code	type	count	language
pih	PER	26582	Pitkern
pl	LOC	478333	Polish
pl	ORG	222621	Polish
pl	PER	825401	Polish
pms	LOC	83152	Piedmontese
pms	ORG	63084	Piedmontese
pms	PER	182786	Piedmontese
pnb	LOC	16893	Western Punjabi
pnb	ORG	5304	Western Punjabi
pnb	PER	9853	Western Punjabi
pnt	LOC	234	Pontic Greek
pnt	ORG	155	Pontic Greek
pnt	PER	48	Pontic Greek
prg	LOC	38974	Old Prussian
prg	ORG	39002	Old Prussian
prg	PER	79482	Old Prussian
ps	LOC	2475	Pashto
ps	ORG	1143	Pashto
ps	PER	2050	Pashto
pt	LOC	540054	Portuguese
pt	ORG	337499	Portuguese
pt	PER	3490180	Portuguese
pwn	LOC	1635	katadrengan
pwn	ORG	1478	katadrengan
pwn	PER	13	katadrengan
qu	LOC	6724	Quechua
qu	ORG	2784	Quechua
qu	PER	32563	Quechua
quc	PER	1	K’iche’
qug	LOC	264	Kichwa
qug	ORG	724	Kichwa
qug	PER	24742	Kichwa
rgn	LOC	38813	Romagnol
rgn	ORG	38446	Romagnol
rgn	PER	56667	Romagnol
rif	LOC	179	Tarifit
rif	ORG	717	Tarifit
rif	PER	24701	Tarifit
rm	LOC	82578	Romansh
rm	ORG	52706	Romansh
rm	PER	173594	Romansh
rmc	LOC	1	Carpathian Romani
rmc	PER	2	Carpathian Romani
rmf	LOC	58	Finnish Kalo
rmf	ORG	136	Finnish Kalo
rmf	PER	1105	Finnish Kalo
rmy	LOC	793	Romani
rmy	ORG	1245	Romani
rmy	PER	27859	Romani
rn	LOC	754	Kirundi
rn	ORG	1059	Kirundi
rn	PER	26199	Kirundi
ro	LOC	318234	Romanian
ro	ORG	137866	Romanian
ro	PER	437808	Romanian
roa	LOC	8452	roa
roa	ORG	8758	roa
roa	PER	27481	roa
ru	LOC	375778	Russian
ru	ORG	175061	Russian
ru	PER	782953	Russian
rue	LOC	2166	Rusyn
rue	ORG	1217	Rusyn
rue	PER	681	Rusyn
rup	LOC	8687	Aromanian
rup	ORG	8102	Aromanian
rup	PER	28846	Aromanian
ruq	LOC	447	Megleno-Romanian
ruq	ORG	995	Megleno-Romanian
ruq	PER	27624	Megleno-Romanian
rw	LOC	2362	Kinyarwanda
rw	ORG	1412	Kinyarwanda
rw	PER	26595	Kinyarwanda
rwr	PER	1	Marwari
ryu	LOC	2	Okinawan
ryu	ORG	1	Okinawan
ryu	PER	2	Okinawan
sa	LOC	2476	Sanskrit
sa	ORG	1006	Sanskrit
sa	PER	2155	Sanskrit
sah	LOC	2316	Sakha
sah	ORG	1027	Sakha
sah	PER	1355	Sakha
sat	LOC	2335	Santali
sat	ORG	724	Santali
sat	PER	1747	Santali
