count,language_code,type
32,ug-arab,LOC
32,koi,ORG
32,ko-kp,ORG
31,xal,ORG
31,skr,LOC
31,no,ORG
31,kjp,LOC
29,tay,PER
27,mnw,ORG
27,gcr,ORG
26,ii,LOC
26,arq,ORG
26,als,ORG
25,ug-arab,ORG
25,sju,ORG
25,crh-cyrl,ORG
24,skr,PER
24,kiu,ORG
24,bqi,ORG
24,anp,ORG
23,ruq-cyrl,ORG
23,ks-deva,ORG
23,ks-arab,ORG
23,kbd-cyrl,ORG
23,ii,ORG
22,tly,ORG
22,shi-tfng,ORG
22,lld,ORG
22,khw,ORG
22,bcc,ORG
18,shy-latn,PER
18,mni,ORG
18,ady,ORG
16,mad,ORG
16,ko-kp,LOC
15,dag,ORG
14,ti,ORG
14,szy,ORG
14,no,LOC
14,aeb-arab,ORG
13,mni,LOC
12,mni,PER
12,gom-deva,ORG
11,de-formal,PER
9,sjd,ORG
9,nod,LOC
8,ota,LOC
7,crh-cyrl,LOC
6,sty,PER
6,nl-informal,PER
6,kjp,PER
6,de-formal,ORG
5,uz-latn,PER
5,tzm,LOC
5,tay,ORG
5,skr,ORG
5,ota,ORG
5,niu,LOC
5,krl,LOC
5,es-formal,ORG
5,de-formal,LOC
5,bqi,LOC
5,anp,LOC
5,aeb,ORG
4,zgh,PER
4,tzm,PER
4,srq,LOC
4,nod,ORG
4,ks-deva,LOC
4,khw,LOC
4,bcc,LOC
4,aeb,LOC
3,zgh,LOC
3,tly,LOC
3,skr-arab,PER
3,shy-latn,LOC
3,shi-tfng,LOC
3,ruq-cyrl,LOC
3,lki,ORG
3,ks-arab,LOC
3,kiu,LOC
3,kbd-cyrl,LOC
3,hu-formal,ORG
3,bgn,ORG
3,ady-cyrl,ORG
3,abs,PER
2,zgh,ORG
2,sty,ORG
2,shy-latn,ORG
2,ses,ORG
2,ses,LOC
2,sdh,ORG
2,sdh,LOC
2,rwr,ORG
2,rwr,LOC
2,luz,ORG
2,luz,LOC
2,lki,LOC
2,kum,PER
2,hu-formal,PER
2,fkv,PER
2,fkv,ORG
2,dag,LOC
2,btm,PER
2,ami,LOC
2,ady-cyrl,LOC
1,uz-latn,LOC
1,uz-cyrl,PER
1,uz-cyrl,LOC
1,tzm,ORG
1,trv,LOC
1,nia,PER
1,kum,ORG
1,kjp,ORG
1,es-formal,LOC
