lang_code	language	comment	orthography	is_subtag	en_wikipedia_link	wikidata_url
sty	Siberian Tatar		Cyrillic, Latin	FALSE	https://en.wikipedia.org/wiki/Siberian_Tatar_language	http://www.wikidata.org/entity/Q4418344
su	Sundanese		Latin	FALSE	https://en.wikipedia.org/wiki/Sundanese_language	http://www.wikidata.org/entity/Q34002
sux-latn	Sumerian in Latin script		Latin	TRUE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q107549870
sv	Swedish		Latin	FALSE	https://en.wikipedia.org/wiki/Swedish_language	http://www.wikidata.org/entity/Q9027
sw	Swahili		Latin	FALSE	https://en.wikipedia.org/wiki/Swahili_language	http://www.wikidata.org/entity/Q7838
sxr	Saaroa		Latin	FALSE	https://en.wikipedia.org/wiki/Saaroa_language	http://www.wikidata.org/entity/Q716599
syc	Syriac		Syriac	FALSE	https://en.wikipedia.org/wiki/Syriac_language	http://www.wikidata.org/entity/Q33538
syl-beng	Sylheti in Bengali-Assamese script		Bengali	TRUE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q107549714
szl	Silesian		Latin	FALSE	https://en.wikipedia.org/wiki/Silesian_language	http://www.wikidata.org/entity/Q30319
szy	Sakizaya		Latin	FALSE	https://en.wikipedia.org/wiki/Sakizaya_language	http://www.wikidata.org/entity/Q718269
ta	Tamil		Tamil	FALSE	https://en.wikipedia.org/wiki/Tamil_language	http://www.wikidata.org/entity/Q5885
tay	Atayal		Latin	FALSE	https://en.wikipedia.org/wiki/Atayal_language	http://www.wikidata.org/entity/Q715766
tce	Southern Tutchone		Latin	FALSE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q31091048
tcy	Tulu		Brahmi	FALSE	https://en.wikipedia.org/wiki/Tulu_language	http://www.wikidata.org/entity/Q34251
te	Telugu		Telugu	FALSE	https://en.wikipedia.org/wiki/Telugu_language	http://www.wikidata.org/entity/Q8097
tet	Tetum		Latin	FALSE	https://en.wikipedia.org/wiki/Tetum_language	http://www.wikidata.org/entity/Q34125
tg	Tajik		Cyrillic, Arabic, Latin	FALSE	https://en.wikipedia.org/wiki/Tajik_language	http://www.wikidata.org/entity/Q9260
tg-cyrl	Tajik in Cyrillic script		Cyrillic	TRUE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q64363004
tg-latn	Tajik in Latin script		Latin	TRUE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q64363005
th	Thai		Thai	FALSE	https://en.wikipedia.org/wiki/Thai_language	http://www.wikidata.org/entity/Q9217
ti	Tigrinya		Ge'ez	FALSE	https://en.wikipedia.org/wiki/Tigrinya_language	http://www.wikidata.org/entity/Q34124
tk	Turkmen		Latin	FALSE	https://en.wikipedia.org/wiki/Turkmen_language	http://www.wikidata.org/entity/Q9267
tl	Tagalog		Latin	FALSE	https://en.wikipedia.org/wiki/Tagalog_language	http://www.wikidata.org/entity/Q34057
tlh	Klingon		Latin	FALSE	https://en.wikipedia.org/wiki/Klingon_language	http://www.wikidata.org/entity/Q10134
tlh-latn	Klingon in Okrand notation		Okrand	TRUE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q107550949
tlh-piqd	Klingon in pIqaD		PlqaD	TRUE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q107550940
tli	Tlingit		Latin	FALSE	https://en.wikipedia.org/wiki/Tlingit_language	http://www.wikidata.org/entity/Q27792
tly	Talysh		Arabic, Latin, Cyrillic	FALSE	https://en.wikipedia.org/wiki/Talysh_language	http://www.wikidata.org/entity/Q34318
tly-cyrl	Talysh in Cyrillic script		Cyrillic	TRUE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q107526557
