lang_code	language	orthography	observed_scripts	keep_these_scripts	is_subtag
ks-arab	Kashmiri in Arabic script	Arabic	Arabic	Arabic	TRUE
ks-deva	Kashmiri in Devanagari script	Devanagari	Latin	Devanagari	TRUE
ksh	Kölsch	Latin	Common,Latin	Latin	FALSE
ksh	Ripuarian	Latin	Common,Latin	Latin	FALSE
ksw	S'gaw Karen	Latin			FALSE
ku	Kurdish Wikipedia	Arabic	Common,Latin	Latin	FALSE
ku	Kurmanji	Arabic	Common,Latin	Latin	FALSE
ku	Kurdish	Arabic	Common,Latin	Latin	FALSE
ku-arab	Kurdish in Arabic script	Arabic	Arabic,Common	Arabic	TRUE
ku-latn	Kurdish in Latin script	Latin	Common,Latin	Latin	TRUE
kum	Kumyk	Cyrillic	Cyrillic	Cyrillic	FALSE
kut	Kutenai	Latin			FALSE
kv	Komi	Cyrillic	Cyrillic	Cyrillic	FALSE
kw	Cornish	Latin	Common,Latin	Latin	FALSE
ky	Kyrgyz	Cyrillic, Arabic	Common,Cyrillic	Cyrillic, Arabic	FALSE
ky-arab	Kyrgyz in Arabic script	Cyrillic			TRUE
ky-cyrl	Kyrgyz in Cyrillic script	Arabic			TRUE
la	Latin	Latin	Common,Latin	Latin	FALSE
lad	Judaeo-Spanish	Latin	Common,Latin	Latin	FALSE
lag	Rangi	Latin			FALSE
lb	Luxembourgish	Latin	Common,Latin	Latin	FALSE
lbe	Lak	Cyrillic	Cyrillic	Cyrillic	FALSE
lez	Lezgian	Cyrillic	Cyrillic	Cyrillic	FALSE
lfn	Lingua Franca Nova	Latin, Cyrillic	Common,Latin	Latin	FALSE
lg	Luganda	Latin	Common,Latin	Latin	FALSE
li	Limburgish	Latin	Common,Latin	Latin	FALSE
lij	Ligurian	Latin	Common,Latin	Latin	FALSE
lij-mc	Monégasque	Latin			TRUE
liv	Livonian	Latin	Common,Latin	Latin	FALSE
lki	Laki	Latin	Common,Latin	Latin	FALSE
lkt	Lakota	Latin			FALSE
lld	Ladin	Latin	Latin	Latin	FALSE
lmo	Lombard	Latin	Common,Latin	Latin	FALSE
ln	Lingala	Latin	Common,Latin	Latin	FALSE
lo	Lao	Lao, Khmer	Lao	Lao, Khmer	FALSE
loz	Lozi	Latin	Common,Latin	Latin	FALSE
lrc	Northern Luri	Arabic	Arabic	Arabic	FALSE
lt	Lithuanian	Latin	Common,Latin	Latin	FALSE
ltg	Latgalian	Latin	Common,Latin	Latin	FALSE
lus	Mizo	Latin	Common,Latin	Latin	FALSE
luz	Southern Luri	Arabic	Common,Latin	Arabic	FALSE
lv	Latvian	Latin	Common,Latin	Latin	FALSE
lzh	Classical Chinese	CJK	Common,Han	Han	FALSE
lzz	Laz	Latin, Georgian	Common,Latin	Georgian, Latin	FALSE
mad	Madurese	Latin, Arabic	Latin	Latin, Arabic	FALSE
mai	Maithili	Devanagari, Tirhuta, Kaithi	Devanagari	Devanagari, Tirhuta, Kaithi	FALSE
map-bms	Banyumasan	Latin	Common,Latin	Latin	TRUE
mdf	Moksha	Cyrillic	Cyrillic	Cyrillic	FALSE
mfe	Mauritian Creole	Latin			FALSE
mg	Malagasy	Latin	Common,Latin	Latin	FALSE
mh	Marshallese	Latin	Common,Latin	Latin	FALSE
mhr	Meadow Mari	Cyrillic	Cyrillic	Cyrillic	FALSE
