count	language_code	type
2302	csb	LOC
2279	zh-mo	LOC
2260	tg-latn	LOC
2245	mad	PER
2231	pag	LOC
2207	haw	LOC
2195	krj	ORG
2177	ksh	ORG
2176	atj	PER
2166	rue	LOC
2159	mwl	LOC
2155	sa	PER
2148	stq	LOC
2136	kw	ORG
2130	si	PER
2120	ban	ORG
2110	lzh	ORG
2085	hrx	PER
2078	mhr	LOC
2078	gv	LOC
2056	bho	PER
2050	ps	PER
2045	zh-my	ORG
2033	mzn	ORG
2012	mwl	ORG
2009	vep	ORG
1998	ho	LOC
1985	so	ORG
1983	ny	LOC
1953	gv	ORG
1945	krj	LOC
1941	liv	PER
1935	smn	LOC
1925	sgs	ORG
1919	ext	ORG
1906	yi	ORG
1893	gn	ORG
1874	gom-latn	PER
1873	szy	LOC
1853	nov	ORG
1849	mn	ORG
1849	hyw	LOC
1833	ak	ORG
1827	ln	ORG
1824	hil	PER
1822	bbc-latn	PER
1822	aeb-latn	PER
1815	hil	LOC
1810	eml	LOC
1796	mt	LOC
1784	tg-latn	ORG
1779	gor	ORG
1770	km	LOC
1769	vro	LOC
1755	ak	LOC
1747	sat	PER
1740	pdc	ORG
1738	lez	LOC
1728	csb	ORG
1727	sdc	LOC
1716	zh-mo	ORG
1711	ext	LOC
1705	hyw	ORG
1686	dag	ORG
1679	hil	ORG
1677	cps	LOC
1674	bto	LOC
1665	ki	ORG
1665	ami	LOC
1656	szy	ORG
1648	gn	LOC
1646	ruq	PER
1645	cdo	ORG
1640	avk	PER
1635	pwn	LOC
1634	smn	ORG
1629	os	ORG
1622	nov	LOC
1620	sd	LOC
1617	ce	PER
1597	so	LOC
1595	kk-cyrl	PER
1591	cps	ORG
1580	avk	LOC
1578	bbc	LOC
1565	bto	ORG
1547	ay	ORG
1544	kaa	ORG
1544	crh-latn	ORG
1538	lfn	ORG
1537	bbc	ORG
1513	tk	LOC
1512	ami	ORG
1511	xmf	ORG
1508	tk	ORG
1501	kk-kz	PER
1499	gag	LOC
1478	pwn	ORG
1456	kk-arab	PER
1450	fit	ORG
1444	bi	ORG
1437	smn	PER
1434	udm	LOC
1425	ug	LOC
1416	tum	ORG
1412	rw	ORG
1398	gag	ORG
1395	sd	PER
1385	ch	ORG
1360	nso	ORG
1359	srn	ORG
1355	sah	PER
1355	ksh	LOC
1338	sn	ORG
1327	ln	LOC
1296	pih	ORG
1296	or	ORG
1294	tw	ORG
1276	kaa	LOC
1273	ku-latn	ORG
1257	pdc	LOC
1253	glk	LOC
1245	rmy	ORG
1244	ff	ORG
1235	kv	LOC
1231	sms	PER
1229	ban	PER
1217	rue	ORG
1215	lfn	LOC
1206	chy	ORG
1199	bi	LOC
1196	ik	ORG
1190	lki	PER
1187	jbo	ORG
1185	st	ORG
1175	ts	ORG
1143	ps	ORG
1117	sma	LOC
1112	koi	LOC
1105	rmf	PER
1104	tn	ORG
1104	sju	PER
1100	sg	ORG
1096	ss	ORG
1086	ltg	ORG
1082	sma	ORG
1074	lg	ORG
1072	sn	LOC
1059	rn	ORG
1047	ve	ORG
1047	to	ORG
1041	ny	ORG
1030	aa	ORG
1028	kbp	PER
1027	sah	ORG
1022	dty	PER
1019	shn	LOC
1018	cho	ORG
1017	hz	ORG
1009	grc	PER
1008	ee	ORG
1006	sa	ORG
1003	hif-latn	ORG
988	tt-latn	ORG
987	fkv	LOC
986	mus	ORG
983	as	ORG
975	kr	ORG
969	ike-latn	ORG
964	kj	ORG
946	dty	LOC
940	ug-latn	ORG
935	new	PER
934	tum	LOC
934	st	LOC
933	bho	ORG
