	language_code	type	count
1107	uk	PER	193222
1108	ur	LOC	90890
1109	ur	ORG	35806
1110	ur	PER	22785
1111	uz	LOC	4
1112	uz	ORG	1
1113	uz	PER	195
1114	ve	LOC	680
1115	ve	ORG	1051
1116	ve	PER	26349
1117	vec	LOC	144654
1118	vec	ORG	103776
1119	vec	PER	147293
1120	vep	LOC	3300
1121	vep	ORG	2014
1122	vep	PER	27249
1123	vi	LOC	253614
1124	vi	ORG	129150
1125	vi	PER	185418
1126	vls	LOC	80007
1127	vls	ORG	51541
1128	vls	PER	143048
1129	vmf	LOC	39368
1130	vmf	ORG	39296
1131	vmf	PER	86297
1132	vo	LOC	144976
1133	vo	ORG	95321
1134	vo	PER	123526
1135	vot	LOC	346
1136	vot	ORG	799
1137	vot	PER	25906
1138	vro	LOC	1769
1139	vro	ORG	776
1140	vro	PER	3726
1141	wa	LOC	80792
1142	wa	ORG	51646
1143	wa	PER	148149
1144	war	LOC	193122
1145	war	ORG	92735
1146	war	PER	47469
1147	wls	LOC	5
1148	wls	ORG	4
1149	wls	PER	57
1150	wo	LOC	78770
1151	wo	ORG	50175
1152	wo	PER	113959
1153	wuu	LOC	38625
1154	wuu	ORG	6311
1155	wuu	PER	10006
1156	xal	LOC	776
1157	xal	ORG	305
1158	xal	PER	81
1159	xh	LOC	2317
1160	xh	ORG	2653
1161	xh	PER	27658
1162	xmf	LOC	4935
1163	xmf	ORG	1511
1164	xmf	PER	2884
1165	xsy	LOC	55
1166	yi	LOC	2630
1167	yi	ORG	1907
1168	yi	PER	3327
1169	yo	LOC	37022
1170	yo	ORG	5526
1171	yo	PER	231658
1172	yue	LOC	26272
1173	yue	ORG	22673
1174	yue	PER	26613
1175	zea	LOC	3292
1176	zea	ORG	3828
1177	zea	PER	33027
1178	zgh	LOC	6
1179	zgh	ORG	6
1180	zgh	PER	11
1181	zh	LOC	786268
1182	zh	ORG	573536
1183	zh	PER	1612568
1184	zu	LOC	87624
1185	zu	ORG	52989
1186	zu	PER	116135
